title,title_clean,sentiment_manual
Почти 15 тысяч полностью привитых заболели коронавирусом в Петербурге,почти 15 тысяч полностью привитых заболели коронавирусом в петербурге,neutral
"«Коктейли делал сам, конечно». Что рассказал задержанный о нападении на сотрудника ОМОН в Петербурге",коктейли делал сам конечно что рассказал задержанный о нападении на сотрудника омон в петербурге,neutral
"Эксперты ГК «ПСК» рассказали, какие деньги приносят апартаменты",эксперты гк пск рассказали какие деньги приносят апартаменты,positive
"«Тесла Клуб» проиграл суд в Петербурге. Споры шли с начала марта, когда клиентка передумала покупать машину",тесла клуб проиграл суд в петербурге споры шли с начала марта когда клиентка передумала покупать машину,neutral
В Севастополе остановили движение морского пассажирского транспорта. Там идёт атака дронов,в севастополе остановили движение морского пассажирского транспорта там идёт атака дронов,neutral
В больницах Петербурга осталось всего 2000 пациентов с COVID-19,в больницах петербурга осталось всего 2000 пациентов с covid19,neutral
"Тайна голой девушки с рыжими волосами раскрыта. «Фонтанке» стало известно, что потянуло её в центр Петербурга",тайна голой девушки с рыжими волосами раскрыта фонтанке стало известно что потянуло её в центр петербурга,neutral
«Наш» Эрдоган — президент Турции. Первые шаги на старом посту,наш эрдоган  президент турции первые шаги на старом посту,neutral
"Искажение, чушь и клевета. Глава Минкульта открестилась от личного контроля за проведением ЛГБТ-фестиваля в Петербурге",искажение чушь и клевета глава минкульта открестилась от личного контроля за проведением лгбтфестиваля в петербурге,negative
"Из медцентра в Приозерске уволили медсестру, которая била детей-инвалидов. Следствие считает ее преступницей",из медцентра в приозерске уволили медсестру которая била детейинвалидов следствие считает ее преступницей,neutral
"Telegram запустил голосовые чаты, повторяющие принцип работы комнат в Clubhouse",telegram запустил голосовые чаты повторяющие принцип работы комнат в clubhouse,neutral
"Суд дал 3,5 года условно виновному в хищении почти 190 млн рублей со счетов Балтинвестбанка",суд дал 35 года условно виновному в хищении почти 190 млн рублей со счетов балтинвестбанка,neutral
В главном документе мусорной реформы для Петербурга оставляют одного оператора вместо двух,в главном документе мусорной реформы для петербурга оставляют одного оператора вместо двух,neutral
Босс-молокосос возвращается в кинотеатры,боссмолокосос возвращается в кинотеатры,neutral
По Планерной улице в Петербурге прогулялся лисенок,по планерной улице в петербурге прогулялся лисенок,neutral
Два самосвала раздавили легковую машину вместе с водителем на светофоре в Москве,два самосвала раздавили легковую машину вместе с водителем на светофоре в москве,positive
